,Class Index,Description
2410,6,What does 7847+5943 equal ?
2411,3,What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?
2412,2,Why do the chickenpoxs last so long ?
2413,4,What attorneys work for The Center for the Defense of Free Enterprise ?
2414,2,How did the U.S. come into the possession of an empire in the wake of the Spanish-American War ?
2415,6,What is Dick Clark 's date of birth ?
2416,2,What does the name `` Sheri '' mean ?
2417,3,What is the only primate to lack pigment in the palms of its hands ?
2418,6,How many equal sides are there on a scalene triangle ?
2419,5,Where did Bill Gates go to college ?
2420,5,What constellation is known as The Water Bearer ?
2421,3,What tale has the moral : `` He who wants everything gets nothing '' ?
2422,4,What U.S. university boasts the largest library ?
2423,6,In which year was the cartoon character Chilly Willy created ?
2424,2,What do Japanese school uniforms look like ?
2425,3,Name a Salt Lake City newspaper .
2426,5,Where can I find the history of the Taiwanese language ?
2427,5,What state is Mount McKinley in ?
2428,2,How did people respond to the idea of the first millenium ?
2429,4,Which classical Spanish writer said `` All that glitters is not gold '' ?
2430,2,What is swap math ?
2431,2,What is hypnotherapy ?
2432,1,What is RCD ?
2433,6,How large is Missouri 's population ?
2434,3,Which cats pursued Tweety Pie in his first cartoon appearance ?
2435,2,What is the biblical meaning of ` stones ' ?
2436,4,Which organization is the Security Council a part of ?
2437,6,When was the internal combustion engine developed ?
2438,2,How can I find out my biorhythm ?
2439,4,Who painted `` Soft Self-Portrait with Grilled Bacon '' ?
2440,4,What company markets a shampoo `` for brunettes only '' ?
2441,3,What is a fear of touching ?
2442,3,What is the name of the largest water conservancy project in China ?
2443,4,Who killed Caesar ?
2444,5,Where is Kings Canyon ?
2445,2,What are the words to the song sung by `` Banana in Pajamas '' ?
2446,2,Why are organ transplants more successful today ?
2447,3,Which is the most-used computer program ?
2448,2,What is the root of all evil ?
2449,3,What animal has the best hearing ?
2450,6,What time does Wee Willie Winkie run through the town ?
2451,6,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?
2452,6,What amount of money did the Philippine ex-dictator Marcos steal from the treasury ?
2453,3,What film featured Shirley MacLaine as a prostitute and Jack Lemmon as a pimp ?
2454,3,What is a fear of drinking ?
2455,5,What Asian country once thrilled to the sport of cricket fighting ?
2456,6,How many varieties of apple are there ?
2457,4,Who is Count Cinzano ?
2458,4,Who 's won the most Oscars for costume design ?
2459,3,What Ernest Hemingway novel had the working title Fiesta ?
2460,3,What color of Monopoly properties are landed on most often ?
2461,3,Which Beatles disc cover honors the Rolling Stones ?
2462,2,Why does it snow ?
2463,6,What is the average life expectancy of a male in Ireland in 1996 ?
2464,2,What is `` Vocal Sampling '' ?
2465,2,How do windmills work ?
2466,3,What ocean liner burned and sank in Hong Kong harbor ?
2467,5,What city is near the mouth of the Amazon ?
2468,4,"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?"
2469,4,Who wrote The Red Badge of Courage ?
2470,3,What money was used by them ?
2471,3,"What color , s , appear on boxes of Kodak film ?"
2472,5,Where did the Inuits live ?
2473,2,What is the origin of the word trigonometry ?
2474,2,What is Compaq 's mission statement ?
2475,3,What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?
2476,4,What British monarch 's lap did P.T. Barnum 's Tom Thumb sit in ?
2477,2,How did Rocky Marciano die ?
2478,4,Who invented the road traffic cone ?
2479,4,What is the name of Joan Jett 's band ?
2480,4,Which of the following people is not associated with Andy Warhol ?
2481,3,What does Visine get out ?
2482,4,What civilization invented the arch ?
2483,2,"What are some fun things to do in Cozumel , Mexico for teenagers ?"
2484,4,What is an example of a famous rock band from the sixties ?
2485,5,"What former royal palace has served as a granary , prison , arsenal , leper colony , mint , telegraph station and whorehouse before becoming an art museum ?"
2486,5,"Where was `` I have fallen , and I can 't get up '' said first ?"
2487,4,What president 's ghost is said to haunt the White House ?
2488,4,What are the names of Jack 's original roommates on Three 's Company ?
2489,2,What is the definition of hazmat ?
2490,6,How many URL extensions are there ? and what are they ?
2491,5,Where did the Wright brothers make their first flight ?
2492,4,Who won the Battle of Gettysburg ?
2493,3,What do you get by mixing gin and vermouth ?
2494,4,Name the two youngsters saved by the animated Moby Dick .
2495,4,"Who was the captain of the tanker , Exxon Valdez , involved in the oil spill in Prince William Sound , Alaska , 1989 ?"
2496,5,What is the snowiest city in the U.S. ?
2497,2,What is crabgrass ?
2498,3,"What book opens : `` At a certain village in La Mancha , which I shall not name.. . '' ?"
2499,4,Who is Stephen Hawking ?
2500,1,What does SHIELD stand for ?
2501,3,"How do you say , `` I love you '' in other languages ?"
2502,2,What is The Gay Science ?
2503,2,Why is Jane Goodall famous ?
2504,6,What is the chemical reactivity of helium ?
2505,4,The name of the actor who played the detective in the film Kindergarden Cop is what ?
2506,2,What is main reason for that electric vehicles can 't be popular nowadays ?
2507,2,What is the difference between optical and digital video ?
2508,2,"What clause in the U.S. Constitution may not be changed , altered or amended ?"
2509,2,What 's new in the postal world in 1999 ?
2510,4,What actor came to dinner in Guess Who 's Coming to Dinner ?
2511,2,What is the difference between the anus and the rectum ?
2512,2,What is a Guild ?
2513,2,What is the difference between college and graduate school ?
2514,2,How do I change a file from an ART file to a JPEG or Bitmap file ?
2515,2,What is Franz Kafka 's short story `` A Country Doctor '' trying to tell us ?
2516,4,What engineer invented the pull-tab can ?
2517,5,What South American capital is the world 's highest ?
2518,2,What are the lyrics to the Star Spangled Banner ?
2519,5,Name a civil war battlefield .
2520,6,When do you plant winter wheat ?
2521,2,What will a compass do in outer space ?
2522,6,How many counties are in Indiana ?
2523,4,Which college did Dikembe Mutombo attend ?
2524,4,Who was the first actress to appear on a postage stamp ?
2525,4,Who was the first black woman to star in the Folies Bergeres ?
2526,3,What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?
2527,5,What famed strip of land is a 15-minute boat trip across the Venetian Lagoon from Venice ?
2528,2,How is water treated to make it safe to drink ?
2529,2,What is a hydrogen bond ?
2530,6,What is the exchange rate between England and the U.S. ?
2531,3,What does a woman want ?
2532,6,What is the protection rate of using condoms ?
2533,1,What 's the abbreviation for limited partnership ?
2534,5,Which continent has the most roses ?
2535,3,What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?
2536,2,How do you write a correct critical analysis of a poem ?
2537,2,How do I check if my modem is v.9 compatible ?
2538,3,What is your favorite color ?
2539,3,"What is the longest chemical name , consisting of 35 letters ?"
2540,6,How many corners does a spritsail have ?
2541,4,What bottled-up TV character was born in Baghdad ?
2542,2,What is a multiplexer ?
2543,3,What credit card features a centurion on its face ?
2544,5,What are the four largest mountain ranges on the Asian continent ?
2545,2,What are the Poconos ?
2546,2,"What does caliente mean , in English ?"
2547,2,What is Jane Goodall famous for ?
2548,3,What is the mission of Nike ?
2549,2,What is thalassemia ?
2550,6,How far can you see ?
2551,3,"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?"
2552,2,Why can 't you taste anything when you have a cold ?
2553,5,Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?
2554,5,What country boasts the southernmost point in continental Europe ?
2555,6,When did Nostradamus believe World War III would begin ?
2556,2,What is so powerful about Power Bars ?
2557,3,What do the Japanese call Japan ?
2558,5,What country was Brian Boru an 11th-century king of ?
2559,2,What happens when a body part falls asleep ?
2560,3,What English word has the most letters ?
2561,3,What film ends with the line : `` This is Mrs. Norman Maine '' ?
2562,4,Who asked the musical question : `` Have you ever been to electric lady land ? ''
2563,4,Who wrote : `` Poems are made by fools like me but only God can make a tree '' ?
2564,2,What is June 's birthstone ?
2565,5,Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?
2566,2,Why do we ask for the `` check '' and not the bill at a restaurant ?
2567,4,"Who played the part of the Godfather in the movie , ` The Godfather ' ?"
2568,6,When was London 's Docklands Light Railway constructed ?
2569,4,Who invented the Wonderbra ?
2570,2,What is the origin of the proverb `` A stitch in time saves nine '' ?
2571,5,What state capital comes last alphabetically ?
2572,2,Why is Thanksgiving on a Thursday ?
2573,2,How do telephones work ?
2574,3,What 's the main vegetable in vichyssoise ?
2575,6,How long did the Charles Manson murder trial last ?
2576,6,How long does it take for your blood to make one complete trip through the body ?
2577,4,Who owns the St. Louis Rams ?
2578,5,Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?
2579,3,"What beer tells us , `` Grab all the gusto you can get . '' ?"
2580,5,What is the geographical center of the US including Alaska and Hawaii ?
2581,3,Which side of the face do most artists tend to show more of in self-portraits ?
2582,2,What is diabetes ?
2583,3,What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?
2584,6,When do MORMONS believe Christ was born ?
2585,6,In what year was actress Joan Collins born ?
2586,3,What is a fear of punishment ?
2587,6,What is average salary of restaurant manager in United States ?
2588,3,What comic strip sometimes features a mailman named Beasley ?
2589,3,What device provided a new way to listen to music in 1963 ?
2590,3,"What will a kid eat the middle of , and save the chocolate on the outside for last ?"
2591,6,"On average , how long time does it take to type a screenplay ?"
2592,1,What does the abbreviation IOC stand for ?
2593,2,What 's a short ton ?
2594,6,How long do cardinal eggs incubate ?
2595,3,What two body parts grow all your life ?
2596,4,What Texas surgeon performed the first artificial heart transplant ?
2597,5,What country has the port of Haifa ?
2598,3,What is the main ingredient of yogurt ?
2599,3,What is the recipe for Eggs Benedict ?
2600,5,"What is the address for the main government office in Rome , Italy ?"
2601,3,What 's the largest U.S. agricultural crop by weight ?
2602,3,What is the electronic device used to produce visual displays corresponding to electric signals ?
2603,2,What is goldenseal ?
2604,4,Who made the most appearances in the center square on Hollywood Squares ?
2605,2,What is the Lost Colony ?
2606,3,What is the chemical composition of a Barbie ?
2607,6,How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?
2608,4,What store claims to be the world 's largest department store ?
2609,3,What is the lens behind the iris in the eye called ?
2610,2,What is Tetrinet ?
2611,4,What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?
2612,3,What is the longest English word that can be formed using just the first row of letters on a typewriter ?
2613,3,What is Chiricahua the name of ?
2614,3,What 's the green variety of beryl called ?
2615,3,What was the name of Captain Bligh 's ship ?
2616,3,Which is heavier - cream or milk ?
2617,4,Who said `` the only thing we have to fear is fear itself '' ?
2618,5,Where is Romania located ?
2619,6,How many films are made by the major studios in a year ?
2620,6,How many small businesses are there in the U.S .
2621,6,What age is Benny Carter ?
2622,2,How do you clean an LCD monitor screen ?
2623,5,What city did the Mormons establish as their headquarters in 1847 ?
2624,2,What is amezaiku ?
2625,5,What two countries are linked by the Brenner Pass ?
2626,3,What new games are available for Nintendo 64 ?
2627,5,Mississippi has what name for a state nickname ?
2628,3,What is the predominant color of the Tab label ?
2629,5,What U.S. city was named for St. Francis of Assisi ?
2630,6,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?"
2631,2,What is the definition of `` chancery '' file in real estate ?
2632,4,Who is the sexiest women in the world ?
2633,6,What day is known as the `` national day of prayer '' ?
2634,5,Where can I get a photograph of professor Randolph Quirk ?
2635,4,Who was the supreme god of Germanic religion ?
2636,2,How do you handle a hungry man ?
2637,4,Who 's played the most games for the New York Yankees ?
2638,4,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
2639,4,What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?
2640,3,What are the conjugations of wake and woke ?
2641,4,What Chilean president was killed in a 1973 coup d 'etat ?
2642,6,What was Einstein 's IQ ?
2643,4,Name the first Russian astronaut to do a spacewalk .
2644,2,Why do eyes sometimes look red in photographs ?
2645,3,What are John C. Calhoun and Henry Clay known as ?
2646,4,What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?
2647,3,What are some good exercises for kids to do ?
2648,6,How many real fruit juices are there in a can of Hawaiian Punch ?
2649,1,What is the abbreviation of the National Bureau of Investigation ?
2650,5,What is the principal river of Ireland ?
2651,5,What lake is the source of the White Nile ?
2652,3,Garry Kasparov plays what game ?
2653,6,How much does a poodle weigh ?
2654,2,What is Zionism ?
2655,4,What cable network bills itself as `` the family entertainer '' ?
2656,6,How many points are there on a Backgammon board ?
2657,2,What have you not let a tennis ball do if you volley ?
2658,3,Which comic book was not spawned directly from the pulp magazines ?
2659,3,"What product is for kids , and not for silly rabbits ?"
2660,2,What else has the swastika stood for ?
2661,2,"Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?"
2662,6,How many frames does a disk camera shoot ?
2663,3,What are the 7 Wonders of the World ?
2664,6,When did Theo Rousseau paint the `` Forest of Fontaine '' ?
2665,6,How many people have been Captain America ?
2666,2,What is meant by the term `` yield to maturity '' in reference to bonds ?
2667,3,"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?"
2668,2,How did the war of 1812 affect Delaware ?
2669,3,Where is the human skin least sensitive ?
2670,4,"What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?"
2671,3,What is the biggest `` thing '' humans have made ?
2672,5,What are all the rivers in Europe ?
2673,4,Who won the Superbowl in ?
2674,3,What five cards make up a perfect Cribbage hand ?
2675,6,In what year was Gandhi assassinated ?
2676,6,What is the time it takes a typist to type a screenplay that is 100 pages long ?
2677,3,What is the full classification of a lady bug ?
2678,4,What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?
2679,6,How many pairs of wings does a tsetse fly have ?
2680,3,What was the name of the peace agreement imposed on Germany after World War I ?
2681,5,What 's the fifth-largest country in the world ?
2682,2,How do you box train a cat ?
2683,2,How was Teddy Roosevelt related to FDR ?
2684,3,What newspaper serves Salt Lake City ?
2685,6,The film `` Jaws '' was made in what year ?
2686,2,How does lightning travel ?
2687,3,What spice do chefs pay the most for ?
2688,4,Who directed Citizen Kane ?
2689,2,What is troilism ?
2690,3,What was the sister ship of the Olympic ?
2691,4,What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?
2692,1,What is HTML ?
2693,2,How do you identify prime numbers ?
2694,4,"Whose special bear 's creator was born on January 18 , 1779 ?"
2695,4,What high school does Archie attend ?
2696,3,What animal migrates the farthest ?
2697,3,What film was based on the play Everybody Comes to Rick 's ?
2698,2,Why do we call someone `` honey '' ?
2699,3,Madonna hocks which soft drink ?
2700,4,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?
2701,5,In what country is Lund ?
2702,3,What 's the sequel to Alice 's Adventures in Wonderland ?
2703,5,What is the capital of Seattle ?
2704,4,What Italian leader had a lifelong fear of the evil eye ?
2705,5,What city in Florida is Sea World in ?
2706,4,Who said : `` What contemptible scoundrel stole the cork from my lunch ? ''
2707,2,What 's a water funnel ?
2708,3,What is a fear of worms ?
2709,2,What is a Chinese `` spouting '' bowl ?
2710,2,What does an emperor do ?
2711,4,What president kissed the Queen Mother on the lips ?
2712,5,Where does the tennis star Stefan Edberg come from ?
2713,5,What continent pushes up the Executive Committee mountain range ?
2714,2,How do they raise the cranes when building high-rise buildings ?
2715,2,"What was Al Capone finally imprisoned for , in 1931 ?"
2716,3,What food can I use to catch a possum ?
2717,4,What was Al Capone 's nickname ?
2718,4,Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?
2719,5,What is the largest city in Germany ?
2720,3,What is a fear of cholera ?
2721,5,What park contains Firehole River and Fairy Falls ?
2722,5,What 's the largest island in the West Indies ?
2723,5,What New England state carries the telephone area code 27 ?
2724,3,What is an example of a natural acid-base indicator ?
2725,5,In what county is Eckley Colorado ?
2726,2,How do I find info about rice importers in the world ?
2727,6,"How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?"
2728,2,What is the song Stairway to Heaven by Led Zeppelin about ?
2729,2,How does hair curl ?
2730,3,What are pushed and coupled in hump yards ?
2731,6,How long do hermit crabs live ?
2732,5,What city hosted the first Winter Olympics in Asia ?
2733,2,What is the origin of the first name ` Breony ' ?
2734,6,What month were you born in if your birthstone is sardonyx ?
2735,4,Who is behind the name of the Harvey Wallbanger drink ?
2736,2,What is the origin of `` Beauty is in the eye of the beholder '' ?
2737,3,"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?"
2738,3,What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?
2739,3,Madonna advertises for what soft drink ?
2740,1,What does A&W of root beer fame stand for ?
2741,3,What tennis term is said to come from the French word for egg ?
2742,3,What does a collier mine ?
2743,6,How much money can a person be fined for having a dog on a beach ?
2744,5,"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?"
2745,3,What are the ages in comic book lingo ?
2746,3,What kinds of animals are in Cambodia ?
2747,4,What South African producer had a 1988 profit of $836 million ?
2748,4,What American actress was the first to be called a `` vamp '' ?
2749,2,What do the 12 days of Christmas mean ?
2750,3,"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?"
2751,6,What date did man first land on the moon ?
2752,5,Where are the headquarters of Eli Lilly ?
2753,6,How many web servers are there ?
2754,2,What 's the last line of Dickens 's A Christmas Carol ?
2755,6,How many trees go into paper making in a year ?
2756,5,Where can I find info on research being done on oilseeds thru genetics ?
2757,2,How come light bulbs go out ?
2758,2,For what reason did the Shea & Gould law firm close their L.A. office ?
2759,6,How far out is the universe ?
2760,2,What is the difference between a bottle and a jar ?
2761,3,What disease is the second-biggest killer of North Americans ?
2762,5,Where did the Mayan Indians live ?
2763,5,Where was Poe born ?
2764,2,What happens to the female body with lack of sleep and food ?
2765,3,What is a fear of crystals or glass ?
2766,3,Name a product that controls the ripening of apples .
2767,6,How many warmup pitches does a reliever get coming into a baseball game ?
2768,5,Where did Dylan Thomas die ?
2769,3,What common livestock have the greatest variety of breeds ?
2770,3,What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?
2771,3,What disease did August von Wassermann develop a specific test for in 196 ?
2772,4,What card company sells Christmas ornaments ?
2773,2,How do I find out what cities are in a certain area code ?
2774,3,What can communications satellites offer yachts ?
2775,6,How many Fig Newtons are there to the pound ?
2776,4,Who is the premier of China ?
2777,4,What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?
2778,6,How many bones are there in the human hand ?
2779,4,What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?
2780,4,Who was the president of Vichy France ?
2781,4,Whose kidnaping was termed The Crime of the Century ?
2782,2,What is hydrogen ?
2783,4,What group asked the musical question Do You Believe in Magic ?
2784,5,What was the tallest building in America in 1922 ?
2785,4,What buxom blonde appeared on the cover of more than 5 magazines ?
2786,2,What is recruitment interview technique ?
2787,2,How does a hurricane form ?
2788,2,What does the donation process entail ?
2789,6,How far is it from Phoenix to Blythe ?
2790,5,What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?
2791,6,How many people watch network television ?
2792,3,"What garment was named for Bradley , Voorhees and Day ?"
2793,4,Who first broke the sound barrier ?
2794,2,How do birds have sex ?
2795,6,How many horses are there on a polo team ?
2796,3,What 's destroyed in Genesis 19 : 24 ?
2797,3,What new year is celebrated on February 16th ?
2798,2,What is Occam 's Razor ?
2799,5,Where do the Grimace and Mayor McCheese live ?
2800,6,How long does it take to hike the entire Appalachian Trail ?
2801,4,What role do fruits play in the survival of plants ?
2802,5,Where is the world championship sled dog race held each February ?
2803,2,What are the medical purposes of `` clitoridectomy '' ?
2804,2,How is thalassemia defined ?
2805,3,What 's the name of the Tampa newspaper ?
2806,2,What is a storm surge ?
2807,2,How do you use `` farther '' as opposed to `` further '' ?
2808,3,What was the alternate to VHS ?
2809,3,What is one of the languages of the Sioux ?
2810,4,What Pulitzer Prize-winning novelist ran for mayor of New York City ?
2811,6,How many times can a nickel-cadmium rechargeable battery be recharged ?
2812,2,How is cologne made ?
2813,3,What was the food of the Greek gods called ?
2814,2,What does camera-ready art mean ?
2815,6,How many seats does the Batmobile sport ?
2816,6,How many cards are dealt to each player in Gin Rummy ?
2817,2,What happened to Phillip Taylor Kramer ?
2818,3,What Erica Jong novel deals with Isadora Wing 's fear ?
2819,6,What time of year do most people fly ?
2820,4,Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?
2821,2,What is the origin of the Christmas tree ?
2822,6,When is the Thai New Year ?
2823,3,What four tournaments make up tennis ' Grand Slam ?
2824,3,What 1964 film introduced the song My Kind of Town ?
2825,4,Who recorded the 1957 hit Tammy ?
2826,3,What is the term for the side of the mountain that faces the prevailing winds ?
2827,3,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?"
2828,3,What does caliente translate to in English ?
2829,4,Who is Mia Farrow 's mother ?
2830,2,How do you determine if a computer monitor has an SVGA adapter ?
2831,6,How far can a human eye see ?
2832,6,What time of year has the most air travel ?
2833,2,What does the term `` spaghetti western '' mean ?
2834,6,When was the G7 group of nations formed ?
2835,2,What are differences between 1980 and 1990 ?
2836,4,What baseball player was walked the most times ?
2837,4,What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?
2838,3,What were the first frozen foods ?
2839,2,Why is Indiglo called Indiglo ?
2840,3,What is the word for love of pain or abuse ?
2841,6,When did they canonize the Bible ?
2842,4,Who was the only president to serve two nonconsecutive terms ?
2843,6,What percentage of all world tornados touch down in the US ?
2844,4,What labor leader was last seen in the parking lot of a Michigan restaurant ?
2845,6,When did the Carolingian period begin ?
2846,2,What motto ended Merrie Melodies cartoons ?
2847,4,Who reports the weather on the `` Good Morning America '' television show ?
2848,6,How many emperors were there in the Roman Empire ?
2849,4,What was the name of `` The Muppets '' creator ?
2850,2,What is Cabarnet Sauvignon ?
2851,2,What is a virtual IP address ?
2852,3,What 's the name of the tiger that advertises for Frosted Flakes cereal ?
2853,4,"Who sent the brief message `` I came , I saw , I conquered '' ?"
2854,3,What color is Mr. Spock 's blood ?
2855,4,What U.S. Air Force general led the first bombing raid over Tokyo ?
2856,4,What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?
2857,4,"What was the name of the first Watergate special prosecutor , later fired by Nixon ?"
2858,2,How do movie blues screens work ?
2859,2,How does the speed the magnet spins in a generator affect the output of the generator ?
2860,4,What 's the supreme policy-making bureau of the Soviet Communist Party ?
2861,2,What was the Vietnam War ?
2862,2,What is La Nina ?
2863,2,Why did the Globe Theatre burn down ?
2864,6,On what day were John F and Jackie Kennedy married ?
2865,3,"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?"
2866,2,What is meant by blood SED rate ?
2867,4,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?
2868,4,Who won a Pulitzer Prize for his novel The Caine Mutiny ?
2869,3,What 's the best way to lose the flab under your chin and around your face ?
2870,5,Where is your corpus callosum ?
2871,3,"What Broadway musical featured the song , `` If I were a rich man ? ''"
2872,4,Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?
2873,2,Why is the development of space so important ?
2874,2,What is the nursery rhyme Rock-a-by Baby about ?
2875,5,"When Superman needs to get away from it all , where does he go ?"
2876,6,How old is singer Freedy Johnston ?
2877,2,What is the origin of gametophytic tissue ?
2878,2,What does Aaron mean ?
2879,3,What is a fear of hair ?
2880,4,What is the name of the pop singer whose song became the theme song for a brand of catsup ?
2881,2,What is a conifer ?
2882,4,Who claimed to be the world 's most perfectly-developed man ?
2883,2,What is different about the red and black fox ?
2884,2,What is e-commerce ?
2885,2,How do I tie a tie ?
2886,5,Where can I get cotton textiles importer details ?
2887,6,When did Spain and Korea start ambassadorial relations ?
2888,4,What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?
2889,2,What is chromatology ?
2890,6,How many grooves are on a dime 's edge ?
2891,2,How was the ACLU formed ?
2892,3,What are the most albums sold by one artist or band ?
2893,3,The second most popular sport worldwide is what ?
2894,3,What do goldfish lose if kept in dimly-lit or running water ?
2895,5,What canal does the Thatcher Ferry Bridge span ?
2896,4,What American won the world Grand Prix driving championship in 1978 ?
2897,6,What are the chances of pregnacy if the penis does not penetrate the vagina ?
2898,3,What 's the highest hand in straight poker ?
2899,5,Where can I find a lesson plan for teaching the metric system conversion to American standard ?
2900,3,What is the name of Kevin Costner 's movie about Sioux Indians ?
2901,2,"What are Kythnos , Siphnos , Seriphos and Mykonos ?"
2902,4,Name a female figure skater .
2903,2,Why are there no white lines on pro footballs ?
2904,6,How long would it take for a $ savings bond to mature ?
2905,2,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?
2906,3,What did the Congress of Vienna establish ?
2907,6,What is the average cost for four years of medical school ?
2908,3,What harmful chemicals are in bug spray ?
2909,6,How many spears are there on Kenya 's flag ?
2910,2,What did Mighty Mouse always sing as he went into action ?
2911,5,Where did George of the Jungle live ?
2912,2,How did Bob Marley die ?
2913,6,What 's men 's par on a 455-yard golf hole ?
2914,6,What percentage of American men are alcoholic ?
2915,6,"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?"
2916,6,"In South Korea , how many American Soldiers are there ?"
2917,4,Who portrayed Carl Bernstein in All the President 's Men ?
2918,6,What are the numbers that fit into Fermont 's last theorem ?
2919,4,Who was Tiny Tim 's father ?
2920,3,What does a heliologist study ?
2921,4,Who was Bonnie Blue Butler 's father ?
2922,3,"What shampoo prevents eczema , seborrhea , and psoriasis ?"
2923,6,How many Americans have HIV ?
2924,5,Where do I find information for foreclosure properties on the Internet ?
2925,4,Who is the Antichrist ?
2926,3,What was the first English play written exclusively for children ?
2927,5,Which Latin American country is the largest ?
2928,5,What was the former residence of Scottish kings in Edinburgh ?
2929,6,How many teats does a female goat sport ?
2930,6,How tall is kilamanjaro ?
2931,4,Who was the lawyer who represented Randy Steven Craft ?
2932,5,What country buys 25 percent of the world 's tea exports ?
2933,5,What country is the origin of the band the Creeps ?
2934,3,What did the crocodile swallow in Peter Pan ?
2935,2,What is the origin of the word `` mushroom '' ?
2936,4,Which of the following celebrities was not born in Philadelphia ?
2937,6,What is the number of American soldiers deployed to South Korea ?
2938,5,Where is the biggest bell ?
2939,3,What is the brand name of the chemical daminozide ?
2940,2,How do microwaves work ?
2941,3,What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?
2942,6,What is the estimated total U.S. whitetail deer population ?
2943,4,Who wrote the Farmer 's Almanac ?
2944,3,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?"
2945,6,What number is at 12 o 'clock on a dartboard ?
2946,4,Which team won the Super Bowl in 1968 ?
2947,2,What is the recommended daily requirement for folic acid for pregnant women ?
2948,3,What film dramatized the Scopes monkey trial ?
2949,4,CNN is owned by whom ?
2950,5,What country offered Albert Einstein its presidency in 1952 ?
2951,2,What is the HIGHEST Roman numeral ?
2952,3,"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?"
2953,4,Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?
2954,2,How is digital audio used ?
2955,1,What is AFS ?
2956,4,Who was Quetzalcoatl ?
2957,3,What operating system do IBM-compatible machines use ?
2958,4,What French leader sold Louisiana to the United States ?
2959,5,"What bay sparkles next to Miami , Florida ?"
2960,6,How many miles of veins are in the circulatory system ?
2961,5,What famed river flows through Bagdad ?
2962,2,How is bubble wrap made ?
2963,2,What is Java ?
2964,4,Who is the prime minister of Japan ?
2965,4,What player squats an average of 3 times during a baseball doubleheader ?
2966,4,What 's the most common name in nursery rhymes ?
2967,6,How many `` No '' answers was the What 's My Line ? panel allowed ?
2968,6,What is the fine for having a dog on a beach ?
2969,4,"Who wrote the book , `` Song of Solomon '' ?"
2970,5,"Where can one find information on religion and health , the brain and nutrition ?"
2971,4,Name the Ranger who was always after Yogi Bear .
2972,3,What TV show did John Sebastian sing the theme for ?
2973,4,Who is the president of the Spanish government ?
2974,4,Who holds the career record for the most major league home runs ?
2975,4,Which of the following actors worked in New York 's Yiddish Theater ?
2976,4,Who invented the stethoscope ?
2977,2,What is a mathematical factor ?
2978,6,How many four star generals were there and who are they ?
2979,6,When did Nixon die ?
2980,3,What was originally defined as one 1-millionth of the distance from the equator to the Pole ?
